scenario,scenario_type,auxiliary_fields,aux_persons,matched_aux_persons,match_coverage,pct_unique_candidate_person,pct_candidate_persons_le_5,median_candidate_persons,mean_candidate_persons,median_candidate_records,mean_candidate_records,map_top_person_success,random_within_candidates_success,target_still_candidate_coverage
degraded_no_week_text_place_id,degraded_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + mapped_l2_name + text_place_id,143,12,0.08391608391608392,0.8333333333333334,1.0,1.0,1.1666666666666667,1.0,1.1666666666666667,0.0,0.0,0.0
degraded_no_week_text_place_id,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + mapped_l2_name + text_place_id,75,8,0.10666666666666667,0.75,1.0,1.0,1.25,1.0,1.25,0.0,0.0,0.0
degraded_month_text_place_id,degraded_auxiliary__same_row_included,区县地址 + 街道地址 + month_start + mapped_l2_name + text_place_id,143,143,1.0,0.993006993006993,1.0,1.0,1.006993006993007,1.0,1.006993006993007,1.0,0.9965034965034965,1.0
degraded_month_text_place_id,degraded_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + month_start + mapped_l2_name + text_place_id,143,1,0.006993006993006993,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_month_text_place_id,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + text_place_id,75,1,0.013333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_l1_week_text_place_id,degraded_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l1_name + text_place_id,143,143,1.0,0.993006993006993,1.0,1.0,1.006993006993007,1.0,1.006993006993007,1.0,0.9965034965034965,1.0
degraded_l1_week_text_place_id,degraded_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l1_name + text_place_id,143,1,0.006993006993006993,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_l1_week_text_place_id,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l1_name + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_no_week_address_id,degraded_auxiliary__same_row_included,区县地址 + 街道地址 + mapped_l2_name + address_id,143,143,1.0,0.9370629370629371,1.0,1.0,1.062937062937063,1.0,1.062937062937063,0.972027972027972,0.9685314685314685,1.0
degraded_no_week_address_id,degraded_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + mapped_l2_name + address_id,143,9,0.06293706293706294,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_no_week_address_id,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + mapped_l2_name + address_id,75,5,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_month_address_id,degraded_auxiliary__same_row_included,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id,143,143,1.0,0.9440559440559441,1.0,1.0,1.055944055944056,1.0,1.055944055944056,0.9790209790209791,0.972027972027972,1.0
degraded_month_address_id,degraded_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id,143,8,0.055944055944055944,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_month_address_id,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id,75,4,0.05333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
degraded_month_relation_keys,degraded_auxiliary__same_row_included,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,143,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
