scenario,scenario_type,auxiliary_fields,aux_persons,matched_aux_persons,match_coverage,target_still_candidate_coverage,pct_unique_candidate_person,pct_candidate_persons_le_5,median_candidate_persons,mean_candidate_persons,median_candidate_records,mean_candidate_records,map_top_person_success,random_within_candidates_success,seed
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260505
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260505
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260506
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260506
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260507
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260507
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260508
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260508
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260509
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260509
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260510
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260510
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260511
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260511
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260512
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260512
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260513
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260513
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260514
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260514
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260515
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260515
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260516
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260516
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260517
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260517
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260518
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260518
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260519
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260519
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260520
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260520
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260521
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260521
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260522
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260522
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260523
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260523
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260524
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260524
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260525
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260525
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260526
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260526
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260527
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260527
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260528
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260528
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260529
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260529
