scenario,qid_columns,records_with_person,unique_persons,qid_groups,median_k_records,mean_k_records,pct_records_k1,pct_records_k_le_5,pct_records_k_le_10,median_person_l_diversity,mean_person_l_diversity,pct_records_person_l1,h_person_bits,h_person_given_q_bits,i_struct_empirical_bits,effective_person_candidates,map_reid_accuracy,fano_error_lb_uniform,control_type,threshold_persons,release_guidance,delta_k1_vs_topic_only_pp,delta_map_vs_topic_only_pp,delta_i_bits_vs_topic_only,address_id_k2_retained_record_pct,address_id_k2_retained_distinct_pct,text_place_id_k2_retained_record_pct,text_place_id_k2_retained_distinct_pct,text_subject_id_k2_retained_record_pct,text_subject_id_k2_retained_distinct_pct,address_id_k5_retained_record_pct,address_id_k5_retained_distinct_pct,text_place_id_k5_retained_record_pct,text_place_id_k5_retained_distinct_pct,text_subject_id_k5_retained_record_pct,text_subject_id_k5_retained_distinct_pct,address_id_k10_retained_record_pct,address_id_k10_retained_distinct_pct,text_place_id_k10_retained_record_pct,text_place_id_k10_retained_distinct_pct,text_subject_id_k10_retained_record_pct,text_subject_id_k10_retained_distinct_pct,address_id_k20_retained_record_pct,address_id_k20_retained_distinct_pct,text_place_id_k20_retained_record_pct,text_place_id_k20_retained_distinct_pct,text_subject_id_k20_retained_record_pct,text_subject_id_k20_retained_distinct_pct,address_id_k50_retained_record_pct,address_id_k50_retained_distinct_pct,text_place_id_k50_retained_record_pct,text_place_id_k50_retained_distinct_pct,text_subject_id_k50_retained_record_pct,text_subject_id_k50_retained_distinct_pct
address_id_k10,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k10,341,143,291,1.0,1.3225806451612903,0.7214076246334311,1.0,1.0,1.0,1.316715542521994,0.7272727272727273,6.684661199457825,0.29845876102878977,6.386202438429035,1.2298298773495289,0.8563049853372434,0.0,threshold_suppression,10,threshold-suppress address keys below person-diversity k,4.985337243401766,2.639296187683282,0.05499967009432094,,,,,,,,,,,,,0.09,0.017857142857142856,,,,,,,,,,,,,,,,
text_place_id_k10,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id_k10,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,10,threshold-suppress text place keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
text_subject_id_k10,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_id_k10,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,10,threshold-suppress text subject keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
relation_keys_k10,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k10 + text_place_id_k10,341,143,291,1.0,1.3225806451612903,0.7214076246334311,1.0,1.0,1.0,1.316715542521994,0.7272727272727273,6.684661199457825,0.29845876102878977,6.386202438429035,1.2298298773495289,0.8563049853372434,0.0,threshold_suppression,10,threshold-suppress both address and text-place keys below person-diversity k,4.985337243401766,2.639296187683282,0.05499967009432094,,,,,,,,,,,,,0.09,0.017857142857142856,0.0,0.0,,,,,,,,,,,,,,
address_id_k20,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k20,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,20,threshold-suppress address keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
text_place_id_k20,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id_k20,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,20,threshold-suppress text place keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
text_subject_id_k20,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_id_k20,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,20,threshold-suppress text subject keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
relation_keys_k20,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k20 + text_place_id_k20,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,20,threshold-suppress both address and text-place keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
address_id_k50,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k50,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,50,threshold-suppress address keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
text_place_id_k50,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id_k50,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,50,threshold-suppress text place keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
text_subject_id_k50,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_id_k50,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,50,threshold-suppress text subject keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
relation_keys_k50,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k50 + text_place_id_k50,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,threshold_suppression,50,threshold-suppress both address and text-place keys below person-diversity k,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
