policy,qid_columns,records_with_person,unique_persons,qid_groups,median_k_records,mean_k_records,pct_records_k1,pct_records_k_le_5,pct_records_k_le_10,median_person_l_diversity,mean_person_l_diversity,pct_records_person_l1,h_person_bits,h_person_given_q_bits,i_struct_empirical_bits,effective_person_candidates,map_reid_accuracy,random_within_qid_accuracy,fano_error_lb_uniform,family,suppression_threshold_persons,retained_all_records_pct,retained_person_records_pct,risk_band,address_detail_retained_pct,text_place_detail_retained_pct,relation_key_detail_retained_proxy_pct
topic_qid_row_suppression_k2,区县地址 + 街道地址 + week_start + mapped_l2_name,110,71,52,2.0,2.1636363636363636,0.0,1.0,1.0,2.0,2.1636363636363636,0.0,5.841504459113258,1.095721136481643,4.745783322631615,2.1371988359331118,0.4727272727272727,0.4727272727272727,0.06568787122837072,standard_k_anonymity_row_suppression,2,28.000000000000004,32.25806451612903,high,0.0,0.0,0.0
topic_qid_row_suppression_k5,区县地址 + 街道地址 + week_start + mapped_l2_name,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,5,0.0,0.0,low-to-moderate,0.0,0.0,0.0
topic_qid_row_suppression_k10,区县地址 + 街道地址 + week_start + mapped_l2_name,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,10,0.0,0.0,low-to-moderate,0.0,0.0,0.0
topic_qid_row_suppression_k20,区县地址 + 街道地址 + week_start + mapped_l2_name,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,20,0.0,0.0,low-to-moderate,0.0,0.0,0.0
topic_qid_row_suppression_k50,区县地址 + 街道地址 + week_start + mapped_l2_name,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,50,0.0,0.0,low-to-moderate,0.0,0.0,0.0
raw_relation_qid_row_suppression_k2,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,2,0.0,0.0,low-to-moderate,0.0,0.0,0.0
raw_relation_qid_row_suppression_k5,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,5,0.0,0.0,low-to-moderate,0.0,0.0,0.0
raw_relation_qid_row_suppression_k10,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,10,0.0,0.0,low-to-moderate,0.0,0.0,0.0
raw_relation_qid_row_suppression_k20,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,20,0.0,0.0,low-to-moderate,0.0,0.0,0.0
raw_relation_qid_row_suppression_k50,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,50,0.0,0.0,low-to-moderate,0.0,0.0,0.0
presence_flag_qid_row_suppression_k2,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id,83,56,39,2.0,2.180722891566265,0.0,1.0,1.0,2.0,2.180722891566265,0.0,5.522882130705956,1.1057161145881607,4.417166016117796,2.1520567382859315,0.46987951807228917,0.4698795180722892,0.06718874791994978,standard_k_anonymity_row_suppression,2,21.25,24.34017595307918,high,0.0,0.0,0.0
presence_flag_qid_row_suppression_k5,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,5,0.0,0.0,low-to-moderate,0.0,0.0,0.0
presence_flag_qid_row_suppression_k10,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,10,0.0,0.0,low-to-moderate,0.0,0.0,0.0
presence_flag_qid_row_suppression_k20,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,20,0.0,0.0,low-to-moderate,0.0,0.0,0.0
presence_flag_qid_row_suppression_k50,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard_k_anonymity_row_suppression,50,0.0,0.0,low-to-moderate,0.0,0.0,0.0
